T_or_V,label,Chamber_temp,voltage_mV,power_mean,power_SD,power_iqr,power_skew,power_kurtosis,x_mean,x_SD,x_IQR,x_skew,x_kurtosis,y_mean,y_SD,y_IQR,y_skew,y_kurtosis,z_mean,z_SD,z_IQR,z_skew,z_kurtosis,board_temp_mean,board_temp_SD,board_temp_iqr,board_temp_skew,board_temp_kurtosis
T,1,24,2100,0.0576185313716,0.026019369934,0.05383799,0.45593815650629926,-1.5291016299934466,-0.104218516675,3.771519049,5.0,-0.08633437494822593,0.1186021408262996,0.229591836735,3.6632135882,5.03048780488,-0.13618260921471464,-0.019732622986691428,0.117595818815,4.55598021746,6.73780487805,0.10568248580563351,-0.4269535183699529,nan,nan,nan,nan,nan
T,1,24,2100,0.0577188145885,0.0259907490816,0.05432436,0.45866344458929453,-1.5279223719160917,-0.0358866869919,3.7718712627,5.12195121951,-0.004246332624707086,-0.11265982142486575,0.334413109756,3.5636920503,4.2987804878,-0.42251954114465945,0.5133801539310925,0.0190548780488,4.42209216959,6.00609756098,-0.06188499773680119,-0.12992757348944606,nan,nan,nan,nan,nan
T,1,24,2100,0.0578823325686,0.0260051337714,0.05507414,0.44803022627321193,-1.5399782552969967,-0.0405456374151,3.66428447367,4.75609756098,-0.08419508321374822,0.31010330697942434,-0.352652753332,3.74388878971,5.12195121951,0.17791645780864365,-0.30655319954564675,-0.200213728941,4.37713344484,5.9756097561,-0.019913003651168777,0.12252631945952253,nan,nan,nan,nan,nan
T,1,24,2100,0.0576799725436,0.0260234169843,0.05506776,0.45348510894393085,-1.533534327259022,-0.327899452464,3.94887649632,5.64024390244,-0.059385172182027886,-0.35158126966162273,-0.0858636137382,3.73052044161,4.75609756098,0.22168460754146205,0.2199960666770373,0.204392732703,4.15441239436,5.73170731707,-0.10436655924599411,0.03395861489438623,nan,nan,nan,nan,nan
T,1,24,2100,0.0575991861347,0.026288292754,0.0577843,0.3873033697337724,-1.6148862065963663,0.026411895135,3.85939159084,5.12195121951,0.1745162696737277,0.08095305946117426,0.271292552498,3.63288873957,5.24390243902,-0.07193035385506927,-0.5014241536203046,0.207708360506,4.35336988479,5.94512195122,-0.15767900794190748,-0.027373867583825096,nan,nan,nan,nan,nan
T,1,24,2100,0.057794503591,0.026048746965,0.05454453,0.4444511110464338,-1.5411302661552368,0.264972545013,3.90460627341,5.48780487805,-0.19593314164450698,0.024970532867270023,0.067679734389,3.6863453059,4.63414634146,-0.05677139235268682,0.493295738485541,0.0453326522794,4.4091062409,5.79268292683,0.028732924092317882,0.1495083498968235,nan,nan,nan,nan,nan
T,1,24,2100,0.057764103192,0.0259893647609,0.05481633,0.45093999397754586,-1.5317883329978792,0.0136884021901,3.98720252205,5.67073170732,-0.15912395962134168,-0.4996315490729035,-0.231769537083,3.6049308212,4.42073170732,-0.2073073724504476,0.5250659039610692,0.0790194126431,4.40737894483,6.09756097561,0.111074170942186,-0.19754001763414752,nan,nan,nan,nan,nan
T,1,24,2100,0.0576702737656,0.0260160113161,0.05423659,0.4565671390370885,-1.530792108450417,-0.056597873671,3.72005295199,5.24390243902,-0.05006032879761618,0.02086782625501682,0.371169480926,3.77581596671,4.87804878049,0.05088286218279592,0.1485192531260484,0.187929956223,4.26016757069,5.57926829268,0.046257812804933185,-0.04653753118193915,nan,nan,nan,nan,nan
T,1,24,2100,0.0578404777057,0.0260620147762,0.05421151,0.44604265286802974,-1.5428494971930218,-0.144639818491,3.82556377044,5.42682926829,-0.06028033635099428,-0.44669853874289656,-0.256822335665,3.51461991854,4.93902439024,-0.11110626045338781,-0.2991140225405058,-0.0642843637739,4.47960936373,5.79268292683,0.07319742238631653,0.0012542384588383193,nan,nan,nan,nan,nan
T,1,30,2100,0.0580434592519,0.0258134125083,0.05487849,0.45156681025721795,-1.5294725213759155,0.274072662602,3.51799356805,4.78658536585,0.023333814825040322,-0.22582166236000623,0.0504954268293,3.5788188034,4.75609756098,0.0868990670674718,-0.17410768097819806,0.0247713414634,4.27641574355,5.2743902439,-0.07986877134012435,-0.014976945097910033,nan,nan,nan,nan,nan
